id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_AUDI_A3_2022_FR,AUDI,A3,2022,FR,0,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_A3&fuel=6&gearbox=2&regdate=2022-max&sort=price&order=asc&kst=k
MS_AUDI_A4_2022_FR,AUDI,A4,2022,FR,0,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_A4&fuel=6&gearbox=2&regdate=2022-max&sort=price&order=asc
MS_AUDI_A6_2022_FR,AUDI,A6,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_A6&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_AUDI_Q3_2022_FR,AUDI,Q3,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_Q3&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_AUDI_Q5_2022_FR,AUDI,Q5,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_Q5&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_AUDI_Q8_2022_FR,AUDI,Q8,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=AUDI&u_car_model=AUDI_Q8&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_BMW_SÉRIE1_2022_FR,BMW,Série 1,2022,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=BMW&u_car_model=BMW_S%C3%A9rie%201&fuel=6&gearbox=2&regdate=2022-max&mileage=min-59000&sort=price&order=asc
MS_BMW_SÉRIE2_2022_FR,BMW,Série 2,2022,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=BMW&u_car_model=BMW_S%C3%A9rie%202&fuel=6&gearbox=2&regdate=2022-max&mileage=min-59000&sort=price&order=asc
MS_BMW_SÉRIE3_2023_FR,BMW,Série 3,2023,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=BMW&u_car_model=BMW_S%C3%A9rie%203&fuel=6&gearbox=2&regdate=2023-max&mileage=min-59000&sort=price&order=asc
MS_BMW_SÉRIE5_2023_FR,BMW,Série 5,2023,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=BMW&u_car_model=BMW_S%C3%A9rie%205&fuel=6&gearbox=2&regdate=2023-max&mileage=min-59000&sort=price&order=asc
